//Page 0
0,0x00,0x00
0,0x01,0x0E
0,0x02,0x06
0,0x03,0x1B
0,0x04,0x76
0,0x05,0x00
0,0x06,0x01
0,0x07,0x00
0,0x08,0x00
0,0x09,0x00
0,0x0A,0x04
0,0x0B,0x04
0,0x0C,0x01
0,0x0D,0x00
0,0x0E,0x00
0,0x0F,0x00
0,0x10,0x01
0,0x11,0x20
0,0x12,0x10
0,0x13,0x04
0,0x14,0x01
0,0x15,0x21
0,0x16,0x01
0,0x17,0x00
0,0x18,0x00
0,0x19,0x05
0,0x1A,0x02
0,0x1B,0x05
0,0x1C,0xEB
0,0x1D,0x00
0,0x1E,0x0B
0,0x1F,0x07
0,0x20,0x07
0,0x21,0x07
0,0x22,0x07
0,0x23,0x00
0,0x24,0x03
0,0x25,0x00
0,0x26,0x00
0,0x27,0x00
0,0x28,0x00
0,0x29,0x00
0,0x2A,0x00
0,0x2B,0x40
0,0x2C,0x00
0,0x2D,0x00
0,0x2E,0x00
0,0x2F,0x00
0,0x30,0x00
0,0x31,0xD0
0,0x32,0x28
0,0x33,0xCC
0,0x34,0x80
0,0x35,0x0C
0,0x36,0x66
0,0x37,0x6B
0,0x38,0xCC
0,0x39,0x09
0,0x3A,0x00
0,0x3B,0x00
0,0x3C,0xB4
0,0x3D,0x90
0,0x3E,0x42
0,0x3F,0x00
0,0x40,0x2A
0,0x41,0x06
0,0x42,0xAA
0,0x43,0x22
0,0x44,0x00
0,0x45,0x89
0,0x46,0x07
0,0x47,0x91
0,0x48,0x77
0,0x49,0x77
0,0x4A,0x77
0,0x4B,0x01
0,0x4C,0x00
0,0x4D,0x00
0,0x4E,0x00
0,0x4F,0x04
0,0x50,0xD2
0,0x51,0xDA
0,0x52,0xFF
0,0x53,0x00
0,0x54,0x00
0,0x55,0x00
0,0x56,0x00
0,0x57,0x00
0,0x58,0x0F
0,0x59,0x00
0,0x5A,0x00
0,0x5B,0x03
0,0x5C,0x20
0,0x5D,0x00
0,0x5E,0x80
0,0x5F,0x00
0,0x60,0x00
0,0x61,0x00
0,0x62,0x00
0,0x63,0x00
0,0x64,0x00
0,0x65,0x01
0,0x66,0x04
0,0x67,0x00
0,0x68,0x04
0,0x69,0x00
0,0x6A,0x00
0,0x6B,0x00
0,0x6C,0x80
0,0x6D,0x00
0,0x6E,0x00
0,0x6F,0x00
0,0x70,0x88
0,0x71,0xC8
0,0x72,0x00
0,0x73,0x00
0,0x74,0x00
0,0x75,0x00
0,0x76,0x00
0,0x77,0x00
0,0x78,0x00
0,0x79,0x00
0,0x7A,0x00
0,0x7B,0x00
0,0x7C,0x00
0,0x7D,0x00
0,0x7E,0x00
0,0x7F,0x00
//Page 1
1,0x00,0x01
1,0x01,0x0E
1,0x02,0x06
1,0x03,0x1B
1,0x04,0x76
1,0x05,0x00
1,0x06,0x80
1,0x07,0xFF
1,0x08,0x00
1,0x09,0x07
1,0x0A,0x00
1,0x0B,0x08
1,0x0C,0x0A
1,0x0D,0x90
1,0x0E,0x5C
1,0x0F,0x0A
1,0x10,0xE9
1,0x11,0xE1
1,0x12,0xDC
1,0x13,0x05
1,0x14,0x00
1,0x15,0x38
1,0x16,0x00
1,0x17,0x00
1,0x18,0x00
1,0x19,0x00
1,0x1A,0x00
1,0x1B,0x00
1,0x1C,0x00
1,0x1D,0x00
1,0x1E,0x50
1,0x1F,0x00
1,0x20,0x00
1,0x21,0x00
1,0x22,0x00
1,0x23,0x67
1,0x24,0x01
1,0x25,0x03
1,0x26,0x00
1,0x27,0x08
1,0x28,0x55
1,0x29,0x00
1,0x2A,0x00
1,0x2B,0x00
1,0x2C,0xF4
1,0x2D,0xFF
1,0x2E,0x69
1,0x2F,0xD0
1,0x30,0x40
1,0x31,0x0F
1,0x32,0x05
1,0x33,0x02
1,0x34,0x05
1,0x35,0xE9
1,0x36,0x00
1,0x37,0x00
1,0x38,0x58
1,0x39,0xF0
1,0x3A,0x08
1,0x3B,0x08
1,0x3C,0x08
1,0x3D,0x15
1,0x3E,0x31
1,0x3F,0x32
1,0x40,0x33
1,0x41,0x32
1,0x42,0x8C
1,0x43,0xDA
1,0x44,0xBF
1,0x45,0x06
1,0x46,0x20
1,0x47,0x52
1,0x48,0x04
1,0x49,0x00
1,0x4A,0x00
1,0x4B,0x00
1,0x4C,0x00
1,0x4D,0x00
1,0x4E,0x00
1,0x4F,0x00
1,0x50,0x00
1,0x51,0x00
1,0x52,0x00
1,0x53,0x00
1,0x54,0x00
1,0x55,0x00
1,0x56,0x00
1,0x57,0x00
1,0x58,0x00
1,0x59,0x00
1,0x5A,0x00
1,0x5B,0x00
1,0x5C,0x00
1,0x5D,0x00
1,0x5E,0x00
1,0x5F,0x00
1,0x60,0x00
1,0x61,0x00
1,0x62,0x00
1,0x63,0x00
1,0x64,0x00
1,0x65,0x00
1,0x66,0x00
1,0x67,0x00
1,0x68,0x00
1,0x69,0x00
1,0x6A,0x00
1,0x6B,0x00
1,0x6C,0x00
1,0x6D,0x00
1,0x6E,0x00
1,0x6F,0x00
1,0x70,0x00
1,0x71,0x00
1,0x72,0x00
1,0x73,0x00
1,0x74,0x00
1,0x75,0x00
1,0x76,0x00
1,0x77,0x00
1,0x78,0x00
1,0x79,0x00
1,0x7A,0x00
1,0x7B,0x00
1,0x7C,0x00
1,0x7D,0x00
1,0x7E,0x7F
1,0x7F,0x7F
//Page 2
2,0x00,0x02
2,0x01,0x0E
2,0x02,0x06
2,0x03,0x1B
2,0x04,0x76
2,0x05,0x00
2,0x06,0x6A
2,0x07,0x93
2,0x08,0xFF
2,0x09,0x6C
2,0x0A,0x06
2,0x0B,0x00
2,0x0C,0xF8
2,0x0D,0x06
2,0x0E,0x06
2,0x0F,0x00
2,0x10,0xF8
2,0x11,0x06
2,0x12,0x06
2,0x13,0x00
2,0x14,0xF8
2,0x15,0x06
2,0x16,0x06
2,0x17,0x00
2,0x18,0xF8
2,0x19,0x06
2,0x1A,0x14
2,0x1B,0xC0
2,0x1C,0xF9
2,0x1D,0x14
2,0x1E,0x22
2,0x1F,0xD4
2,0x20,0xF9
2,0x21,0x22
2,0x22,0x30
2,0x23,0xD8
2,0x24,0xF9
2,0x25,0x30
2,0x26,0x3E
2,0x27,0xDE
2,0x28,0xF9
2,0x29,0x3E
2,0x2A,0x0E
2,0x2B,0xFF
2,0x2C,0x80
2,0x2D,0x4F
2,0x2E,0x12
2,0x2F,0x80
2,0x30,0x38
2,0x31,0x01
2,0x32,0x84
2,0x33,0x2F
2,0x34,0xEF
2,0x35,0x3F
2,0x36,0x00
2,0x37,0x00
2,0x38,0x00
2,0x39,0x00
2,0x3A,0x00
2,0x3B,0x00
2,0x3C,0x00
2,0x3D,0xFD
2,0x3E,0x08
2,0x3F,0x22
2,0x40,0x60
2,0x41,0xF0
2,0x42,0x00
2,0x43,0x04
2,0x44,0x00
2,0x45,0x00
2,0x46,0x00
2,0x47,0x06
2,0x48,0x00
2,0x49,0x40
2,0x4A,0x00
2,0x4B,0x00
2,0x4C,0x01
2,0x4D,0x00
2,0x4E,0x16
2,0x4F,0x01
2,0x50,0x00
2,0x51,0x88
2,0x52,0x0C
2,0x53,0x00
2,0x54,0x00
2,0x55,0x00
2,0x56,0x00
2,0x57,0x80
2,0x58,0x00
2,0x59,0x00
2,0x5A,0x16
2,0x5B,0x00
2,0x5C,0x00
2,0x5D,0x01
2,0x5E,0x00
2,0x5F,0x00
2,0x60,0x00
2,0x61,0x00
2,0x62,0x00
2,0x63,0x00
2,0x64,0x00
2,0x65,0x0F
2,0x66,0x00
2,0x67,0x00
2,0x68,0x00
2,0x69,0x00
2,0x6A,0x00
2,0x6B,0x00
2,0x6C,0x7F
2,0x6D,0x7F
2,0x6E,0x3E
2,0x6F,0xDE
2,0x70,0xF9
2,0x71,0x00
2,0x72,0x00
2,0x73,0x00
2,0x74,0x00
2,0x75,0x00
2,0x76,0x00
2,0x77,0x00
2,0x78,0x00
2,0x79,0x00
2,0x7A,0x00
2,0x7B,0x00
2,0x7C,0x00
2,0x7D,0x00
2,0x7E,0x00
2,0x7F,0x00
//Page 3
3,0x00,0x03
3,0x01,0x0E
3,0x02,0x06
3,0x03,0x1B
3,0x04,0x76
3,0x05,0x00
3,0x06,0x22
3,0x07,0x00
3,0x08,0x00
3,0x09,0x00
3,0x0A,0xA8
3,0x0B,0xCB
3,0x0C,0x18
3,0x0D,0x88
3,0x0E,0xB8
3,0x0F,0x2B
3,0x10,0xC0
3,0x11,0x0F
3,0x12,0x1E
3,0x13,0x10
3,0x14,0x00
3,0x15,0x20
3,0x16,0x00
3,0x17,0x00
3,0x18,0x0F
3,0x19,0x08
3,0x1A,0x03
3,0x1B,0x00
3,0x1C,0xD7
3,0x1D,0x00
